Rank	Query#	Scores	Document#	Snippet of text#	Valid ranks count
9	62	0.13	1299	hypersonic viscous shock layer	885
10	62	0.13	353	the effect of helium injection at an axially symmetric stagnation point	885
*********************************************************************************
1	66	0.29	186	base pressure in supersonic flow	1003
2	66	0.27	176	base pressure at subsonic speeds in the presence of a supersonic jet	1003
3	66	0.24	1311	some simple solutions to the problem of predicting boundary layer selfinduced pressures	1003
4	66	0.23	519	base pressure at supersonic speeds in the presence of a supersonic jet	1003
5	66	0.22	188	an analysis of base pressure at supersonic velocities and comparison with experiment	1003
6	66	0.22	461	approximate methods fore predicting separation properties of laminar boundary layers	1003
7	66	0.22	234	a second order shockexpansion method applicable to bodies of revolution near zero lift	1003
8	66	0.22	173	the effect of a central jet on the base pressure of a cylindrical afterbody in a supersonic stream	1003
9	66	0.21	189	experimental investigation of base pressure on blunttrailingedge wings of supersonic velocities	1003
10	66	0.2	179	an analysis of base pressure at supersonic speeds and comparison with experiment	1003
*********************************************************************************
1	67	0.28	536	transition in the viscous wakes of blunt bodies at hypersonic speeds	557
2	67	0.28	1141	the wake behind an oscillating vehicle	557
3	67	0.25	295	a note on transitional heat transfer under hypersonic conditions	557
4	67	0.24	976	turbulent diffusion in the wake of a blunt nosed body at hypersonic speeds	557
5	67	0.22	154	velocity and temperature distributions in the turbulent wake behind a heated body of revolution	557
6	67	0.21	1264	boundary layer transition and heat transfer in shock tubes	557
7	67	0.21	272	oscillatory aerodynamic coefficients for a unified supersonic hypersonic strip theory	557
8	67	0.21	1368	three dimensional viscous wakes	557
9	67	0.2	294	an investigation of laminar transitional and turbulent heat transfer on bluntnosed bodies in hypersonic flow	557
10	67	0.19	1196	growth of the turbulent wake behind a supersonic sphere	557
*********************************************************************************
1	68	0.27	37	a new technique for investigating heat transfer and surface phenomena under hypersonic flow conditions	501
2	68	0.27	272	oscillatory aerodynamic coefficients for a unified supersonic hypersonic strip theory	501
3	68	0.24	1205	effects of cooling on boundary layer transition on a hemi sphere in simulated hypersonic flow	501
4	68	0.22	295	a note on transitional heat transfer under hypersonic conditions	501
5	68	0.21	1264	boundary layer transition and heat transfer in shock tubes	501
6	68	0.21	9	transition studies and skin friction measurements on an insulated flat plate at a mach number of 58	501
7	68	0.2	346	measurements of turbulent friction on a smooth flat plate in supersonic	501
8	68	0.18	315	scale effects at high subsonic and transonic speeds and methods for fixing transition in model experiments	501
9	68	0.17	1278	transition in a separated laminar boundary layer	501
10	68	0.17	418	transition form laminar to turbulent shear flow	501
*********************************************************************************
1	69	0.3	37	a new technique for investigating heat transfer and surface phenomena under hypersonic flow conditions	306
2	69	0.29	536	transition in the viscous wakes of blunt bodies at hypersonic speeds	306
3	69	0.26	1141	the wake behind an oscillating vehicle	306
4	69	0.22	272	oscillatory aerodynamic coefficients for a unified supersonic hypersonic strip theory	306
5	69	0.22	295	a note on transitional heat transfer under hypersonic conditions	306
6	69	0.21	1205	effects of cooling on boundary layer transition on a hemi sphere in simulated hypersonic flow	306
7	69	0.19	1368	three dimensional viscous wakes	306
8	69	0.18	154	velocity and temperature distributions in the turbulent wake behind a heated body of revolution	306
9	69	0.18	976	turbulent diffusion in the wake of a blunt nosed body at hypersonic speeds	306
10	69	0.17	1196	growth of the turbulent wake behind a supersonic sphere	306
*********************************************************************************
1	71	0.56	289	a theoretical study of the aerodynamics of slender cruciformwing arrangements and their wakes	831
2	71	0.37	433	application of two dimensional vortex theory to the prediction of flow fields behind wings of wingbody combinations at subsonic and supersonic speeds	831
3	71	0.35	927	investigation of normal force distributions and wake vortex characteristics of bodies of revolution at supersonic speeds	831
4	71	0.32	432	theoretical damping in roll and rolling moment due to differential wing incidence for slender cruciform wings and wingbody combinations	831
5	71	0.3	229	interference between the wings and tail surfaces of a combination of slender body cruciform wings and cruciform tail set at both incidence and yaw	831
6	71	0.25	1277	a study of vortex cancellation	831
7	71	0.25	1141	the wake behind an oscillating vehicle	831
8	71	0.24	420	an experimental study of the flow field about swept and delta wings with sharp leading edges	831
9	71	0.24	288	the rolling up of the trailing vortex sheet and its effect on the downwash behind wings	831
10	71	0.23	1152	on periodically oscillating wakes in the oseen approximation	831
*********************************************************************************
1	72	0.55	521	a note on application of transonic linearization to an airfoil with a round leading edge	1054
2	72	0.36	526	leading edge attachment in transonic flow with laminar or turbulent boundary layers	1054
3	72	0.32	440	compilation of information on the transonic attachment of flows at the leading edge of airfoils	1054
4	72	0.29	503	theoretical prediction of the transonic characteristics of airfoils	1054
5	72	0.28	467	thin airfoil theory based on approximate solution of the transonic flow equation	1054
6	72	0.23	1267	on supersonic flow past thick airfoils	1054
7	72	0.23	194	general theory of airfoil sections having arbitrary shape or pressure distribution	1054
8	72	0.22	469	linearised transonic flow about slender bodies at zero angle of attack	1054
9	72	0.21	39	on the flow of a sonic stream past an airfoil surface	1054
10	72	0.21	312	chordwise pressure distributions over several naca 16 series airfoils at transonic mach numbers up to 125	1054
*********************************************************************************
1	74	0.36	467	thin airfoil theory based on approximate solution of the transonic flow equation	1019
2	74	0.33	194	general theory of airfoil sections having arbitrary shape or pressure distribution	1019
3	74	0.3	469	linearised transonic flow about slender bodies at zero angle of attack	1019
4	74	0.29	503	theoretical prediction of the transonic characteristics of airfoils	1019
5	74	0.25	404	two dimensional transonic flow past airfoils	1019
6	74	0.24	440	compilation of information on the transonic attachment of flows at the leading edge of airfoils	1019
7	74	0.24	526	leading edge attachment in transonic flow with laminar or turbulent boundary layers	1019
8	74	0.24	39	on the flow of a sonic stream past an airfoil surface	1019
9	74	0.23	312	chordwise pressure distributions over several naca 16 series airfoils at transonic mach numbers up to 125	1019
10	74	0.2	1210	on slender airfoil theory for nonequilibrium flow	1019
*********************************************************************************
